mode,epochs,timestep,ep_reward,reward,action
train,1,1,0.615426778793335,0.615426778793335,-0.18225903809070587
train,1,2,1.2378385066986084,0.6224116683006287,0.31866034865379333
train,1,3,1.8565611839294434,0.618722677230835,0.5453863143920898
train,1,4,2.4593372344970703,0.6027759909629822,0.7099354267120361
train,1,5,3.0333919525146484,0.5740545988082886,0.5911401510238647
train,1,6,3.5676276683807373,0.5342357158660889,-0.05698147788643837
train,1,7,4.056591510772705,0.48896366357803345,0.1623353809118271
train,1,8,4.493418216705322,0.4368267059326172,-0.04671274125576019
train,1,9,4.875888824462891,0.3824707269668579,-0.11478977650403976
train,1,10,5.222914695739746,0.34702610969543457,0.5481086373329163
train,1,11,5.620452880859375,0.39753836393356323,-0.12295710295438766
train,1,12,6.070507049560547,0.4500539302825928,-0.179450124502182
train,1,13,6.569680690765381,0.49917346239089966,0.558585524559021
train,1,14,7.1111931800842285,0.5415123701095581,0.6481227874755859
train,1,15,7.690046310424805,0.5788531303405762,0.8428895473480225
train,1,16,8.300142288208008,0.6100960969924927,-0.6474534273147583
train,1,17,8.934700965881348,0.6345586776733398,-1.2155920267105103
train,1,18,9.57968521118164,0.6449844837188721,-0.7725682258605957
train,1,19,10.219886779785156,0.6402015089988708,0.6993377804756165
train,1,20,10.846582412719727,0.6266953945159912,-0.251242458820343
train,1,21,11.447543144226074,0.600960373878479,0.7922871112823486
train,1,22,12.017606735229492,0.5700637698173523,0.3353271782398224
train,1,23,12.548239707946777,0.5306328535079956,-0.20300033688545227
train,1,24,13.029780387878418,0.4815405607223511,-0.0847843736410141
train,1,25,13.457060813903809,0.4272804856300354,0.06171838566660881
train,1,26,13.82804012298584,0.3709789514541626,-0.12084151804447174
train,1,27,14.181558609008789,0.3535187244415283,-0.010120019316673279
train,1,28,14.588902473449707,0.4073442816734314,0.6905295252799988
train,1,29,15.05022144317627,0.4613193869590759,-0.7265151739120483
train,1,30,15.55711555480957,0.506894588470459,0.37999361753463745
train,1,31,16.108213424682617,0.5510972738265991,-0.5576525926589966
train,1,32,16.694190979003906,0.5859767198562622,-0.30730435252189636
train,1,33,17.30852699279785,0.6143361330032349,-0.5806975960731506
train,1,34,17.94287109375,0.6343433856964111,0.29118943214416504
train,1,35,18.58780288696289,0.6449326872825623,-0.12137779593467712
train,1,36,19.232154846191406,0.6443528532981873,0.37067338824272156
train,1,37,19.863685607910156,0.6315312385559082,-0.23288752138614655
train,1,38,20.47270393371582,0.6090176105499268,-0.09883616864681244
train,1,39,21.04924201965332,0.5765389204025269,-0.5620602369308472
train,1,40,21.58746910095215,0.5382266044616699,-0.14313693344593048
train,1,41,22.079090118408203,0.4916209578514099,-0.1477300524711609
train,1,42,22.518972396850586,0.4398820400238037,0.5537386536598206
train,1,43,22.898691177368164,0.3797191381454468,0.26442456245422363
train,1,44,23.240737915039062,0.342046856880188,-0.5754011869430542
train,1,45,23.639699935913086,0.39896202087402344,-0.39698344469070435
train,1,46,24.092256546020508,0.4525567293167114,-0.2340439260005951
train,1,47,24.593597412109375,0.5013400316238403,0.38042575120925903
train,1,48,25.136911392211914,0.5433133840560913,0.251112163066864
train,1,49,25.71677589416504,0.579864501953125,0.47052058577537537
train,1,50,26.325735092163086,0.6089583039283752,0.11838337779045105
train,1,51,26.955913543701172,0.6301789283752441,-0.2594708502292633
train,1,52,27.596933364868164,0.6410195827484131,0.3683363199234009
train,1,53,28.23843765258789,0.64150470495224,-0.003393637016415596
train,1,54,28.86979103088379,0.631354033946991,-0.07407335191965103
train,1,55,29.479928970336914,0.6101374626159668,-0.3891046941280365
train,1,56,30.056703567504883,0.5767744779586792,-0.3459584712982178
train,1,57,30.58961296081543,0.5329102277755737,-0.13394805788993835
train,1,58,31.071216583251953,0.48160457611083984,-0.2241804301738739
train,1,59,31.494874954223633,0.42365920543670654,0.4545776844024658
train,1,60,31.86248207092285,0.36760634183883667,-0.3706117868423462
train,1,61,32.21456527709961,0.3520820736885071,-0.39476579427719116
train,1,62,32.62162780761719,0.40706121921539307,0.6581697463989258
train,1,63,33.08604049682617,0.4644126296043396,0.5297181010246277
train,1,64,33.6015625,0.5155221819877625,-0.04189203679561615
train,1,65,34.15969467163086,0.5581322908401489,0.3056437075138092
train,1,66,34.75333786010742,0.5936450362205505,-0.07419997453689575
train,1,67,35.37244415283203,0.6191047430038452,0.07191422581672668
train,1,68,36.007266998291016,0.6348229646682739,0.36373233795166016
train,1,69,36.64643096923828,0.6391622424125671,0.22388678789138794
train,1,70,37.27803421020508,0.63160240650177,-0.058572135865688324
train,1,71,37.891544342041016,0.6135093569755554,0.8416244983673096
train,1,72,38.47249984741211,0.5809570550918579,0.09615756571292877
train,1,73,39.01254653930664,0.5400480031967163,-0.5179139971733093
train,1,74,39.50777053833008,0.49522459506988525,0.176479309797287
train,1,75,39.94914245605469,0.4413713812828064,0.03592867776751518
train,1,76,40.33357238769531,0.38442808389663696,-0.12599775195121765
train,1,77,40.67356872558594,0.33999741077423096,0.5567790865898132
train,1,78,41.06600570678711,0.39243561029434204,0.17529332637786865
train,1,79,41.51243591308594,0.4464293122291565,-0.6912152767181396
train,1,80,42.01234436035156,0.49990856647491455,0.15366710722446442
train,1,81,42.55677032470703,0.5444261431694031,-0.34447792172431946
train,1,82,43.13980484008789,0.5830354690551758,-0.23763267695903778
train,1,83,43.75157928466797,0.6117739677429199,0.6048352122306824
train,1,84,44.38217544555664,0.6305948495864868,0.13875623047351837
train,1,85,45.02292251586914,0.6407485604286194,0.48588940501213074
train,1,86,45.66445541381836,0.6415325403213501,0.0636553019285202
train,1,87,46.296443939208984,0.6319901347160339,-0.4944421052932739
train,1,88,46.906036376953125,0.6095914840698242,0.43158429861068726
train,1,89,47.48582077026367,0.5797828435897827,0.5530148148536682
train,1,90,48.029083251953125,0.5432631969451904,-0.3516373336315155
train,1,91,48.52417755126953,0.49509483575820923,0.18867886066436768
train,1,92,48.96784973144531,0.44367069005966187,-0.2551608681678772
train,1,93,49.35368728637695,0.3858386278152466,-0.18027174472808838
train,1,94,49.69184875488281,0.33816051483154297,0.2265130579471588
train,1,95,50.08517074584961,0.39332062005996704,-0.3701411485671997
train,1,96,50.53063201904297,0.44546210765838623,-0.1418427973985672
train,1,97,51.026893615722656,0.49626076221466064,-0.7087725400924683
train,1,98,51.568389892578125,0.5414963960647583,0.5027240514755249
train,1,99,52.152252197265625,0.5838626027107239,0.8400682210922241
train,1,100,52.768035888671875,0.6157838702201843,0.4973768889904022
train,1,101,53.4026985168457,0.6346637010574341,0.14259204268455505
train,1,102,54.044273376464844,0.6415736079216003,0.27925440669059753
train,1,103,54.680931091308594,0.6366573572158813,0.33269160985946655
train,1,104,55.30044174194336,0.6195120811462402,-0.03619829937815666
train,1,105,55.8927116394043,0.5922682285308838,-0.7986408472061157
train,1,106,56.45265579223633,0.559944748878479,-0.20363710820674896
train,1,107,56.97119903564453,0.5185437798500061,0.5726850628852844
train,1,108,57.4369010925293,0.4657021760940552,0.6765896081924438
train,1,109,57.84209442138672,0.405193030834198,0.1084895059466362
train,1,110,58.18695068359375,0.3448569178581238,0.13272801041603088
train,1,111,58.55851745605469,0.3715663552284241,0.13563071191310883
train,1,112,58.98572540283203,0.42720693349838257,-0.021383434534072876
train,1,113,59.467063903808594,0.48133939504623413,0.6833364963531494
train,1,114,59.99653625488281,0.529470682144165,0.6625277996063232
train,1,115,60.570045471191406,0.5735082626342773,-0.27364620566368103
train,1,116,61.182743072509766,0.6126973628997803,-0.3401508927345276
train,1,117,61.823753356933594,0.6410108804702759,0.2445894032716751
train,1,118,62.481380462646484,0.6576272249221802,-0.07049211859703064
train,1,119,63.14463806152344,0.6632580757141113,0.1294320672750473
train,1,120,63.80198669433594,0.6573474407196045,1.3068784475326538
train,1,121,64.44683074951172,0.6448434591293335,0.6326034069061279
train,1,122,65.06990814208984,0.6230765581130981,0.43329793214797974
train,1,123,65.66193389892578,0.5920286774635315,0.3159412741661072
train,1,124,66.21414947509766,0.552215576171875,-0.13574489951133728
train,1,125,66.71633911132812,0.5021911263465881,-0.12372750788927078
train,1,126,67.16168975830078,0.4453515410423279,0.18854933977127075
train,1,127,67.54839324951172,0.3867061734199524,-0.07129332423210144
train,1,128,67.8786392211914,0.3302457332611084,-0.8896192312240601
train,1,129,68.26337432861328,0.3847332000732422,0.41246938705444336
train,1,130,68.70809173583984,0.4447181224822998,0.09769059717655182
train,1,131,69.20760345458984,0.49951452016830444,-0.6842375993728638
train,1,132,69.75469970703125,0.5470954179763794,1.0025087594985962
train,1,133,70.34713745117188,0.5924409031867981,0.16319236159324646
train,1,134,70.97146606445312,0.6243295669555664,0.4942915737628937
train,1,135,71.61669158935547,0.64522784948349,-0.25856924057006836
train,1,136,72.27098083496094,0.6542917490005493,0.4378700256347656
train,1,137,72.92231750488281,0.6513381600379944,0.07980678975582123
train,1,138,73.5587158203125,0.6363965272903442,0.4739994406700134
train,1,139,74.1668701171875,0.6081541180610657,0.1946762502193451
train,1,140,74.73599243164062,0.5691260695457458,-0.340659499168396
train,1,141,75.25981903076172,0.5238245725631714,0.13293957710266113
train,1,142,75.72889709472656,0.46908068656921387,-0.43095219135284424
train,1,143,76.14225769042969,0.41336315870285034,0.639724612236023
