mode,epochs,timestep,ep_reward,reward,action
train,1,2000,1147.5430908203125
train,2,4000,1163.717041015625
train,3,6000,1191.947998046875
train,4,8000,1357.3082275390625
train,5,10000,1400.970703125
train,6,12000,1536.2864990234375
train,7,14000,1598.111572265625
train,8,16000,1889.5888671875
train,9,18000,1967.408447265625
train,10,20000,1975.6221923828125
train,11,22000,1976.585693359375
train,12,24000,1992.029541015625
train,13,26000,1992.11328125
train,14,28000,1984.5352783203125
train,15,30000,1977.3143310546875
train,16,32000,1991.928466796875
train,17,34000,1984.144775390625
train,18,36000,1918.4610595703125
train,19,38000,1975.9573974609375
train,20,40000,1984.201904296875
train,21,42000,1928.34619140625
train,22,44000,1967.905029296875
train,23,46000,1991.812255859375
train,24,48000,1991.7470703125
train,25,50000,1984.659423828125
train,26,52000,1991.6688232421875
train,27,54000,1991.6236572265625
train,28,56000,1984.1387939453125
train,29,58000,1958.7232666015625
train,30,60000,1961.1591796875
train,31,62000,1991.749755859375
train,32,64000,1975.5965576171875
train,33,66000,1991.856201171875
train,34,68000,1991.746826171875
train,35,70000,1895.87744140625
train,36,72000,1999.7239990234375
train,37,74000,1984.732666015625
train,38,76000,1968.9935302734375
train,39,78000,1991.8504638671875
train,40,80000,1967.0076904296875
train,41,82000,1999.7373046875
train,42,84000,1983.99365234375
train,43,86000,1977.015380859375
train,44,88000,1992.0435791015625
train,45,90000,1984.712890625
train,46,92000,1992.0908203125
train,47,94000,1992.0142822265625
train,48,96000,1992.0452880859375
train,49,98000,1983.9156494140625
train,50,100000,1963.30712890625
