mode,epochs,timestep,ep_reward,reward,action
train,1,1,0.58258056640625,0.58258056640625,0.5476126670837402
train,1,2,1.1617238521575928,0.5791433453559875,0.7606295347213745
train,1,3,1.7319605350494385,0.5702366828918457,-0.10710437595844269
train,1,4,2.2845005989074707,0.5525400638580322,1.1620665788650513
train,1,5,2.8175859451293945,0.5330852270126343,-0.39096295833587646
train,1,6,3.3206710815429688,0.5030851364135742,1.3163542747497559
train,1,7,3.7966346740722656,0.47596365213394165,0.7789449095726013
train,1,8,4.242452621459961,0.4458181858062744,0.15749047696590424
train,1,9,4.654006481170654,0.4115539789199829,-0.30363088846206665
train,1,10,5.027406215667725,0.373399555683136,0.31609371304512024
train,1,11,5.414053916931152,0.38664746284484863,-0.050242602825164795
train,1,12,5.83514404296875,0.4210900664329529,0.013292372226715088
train,1,13,6.289200782775879,0.454056978225708,0.24301666021347046
train,1,14,6.7732834815979,0.4840826988220215,0.23902103304862976
train,1,15,7.282447814941406,0.5091642141342163,-0.27576714754104614
train,1,16,7.8111467361450195,0.5286991000175476,0.10463821887969971
train,1,17,8.353911399841309,0.5427650213241577,0.1544787883758545
train,1,18,8.903701782226562,0.5497902631759644,0.18596294522285461
train,1,19,9.452960014343262,0.5492578148841858,0.05222618579864502
train,1,20,9.994468688964844,0.5415091514587402,0.20329731702804565
train,1,21,10.520709037780762,0.5262407064437866,0.6341842412948608
train,1,22,11.022756576538086,0.502047061920166,-0.42141392827033997
train,1,23,11.498486518859863,0.47572994232177734,-0.33177971839904785
train,1,24,11.944707870483398,0.4462212920188904,0.19549338519573212
train,1,25,12.356529235839844,0.41182100772857666,-0.01306634396314621
train,1,26,12.733067512512207,0.3765382170677185,-0.06832996755838394
train,1,27,13.118742942810059,0.38567566871643066,0.3313947021961212
train,1,28,13.537818908691406,0.4190756678581238,0.1462697684764862
train,1,29,13.989766120910645,0.45194751024246216,-0.2779642343521118
train,1,30,14.472274780273438,0.4825083017349243,0.006539583206176758
train,1,31,14.980422973632812,0.5081479549407959,-0.15342065691947937
train,1,32,15.509012222290039,0.5285890102386475,-0.3500969111919403
train,1,33,16.05124855041504,0.5422365665435791,-0.7365043759346008
train,1,34,16.598482131958008,0.5472341775894165,-0.5999047160148621
train,1,35,17.141395568847656,0.5429128408432007,-0.6777160167694092
train,1,36,17.6706485748291,0.5292521715164185,0.09950130432844162
train,1,37,18.18076515197754,0.510116457939148,-0.009448796510696411
train,1,38,18.666048049926758,0.4852825999259949,-0.033506765961647034
train,1,39,19.121782302856445,0.45573359727859497,0.42035144567489624
train,1,40,19.54714584350586,0.42536407709121704,0.3699148893356323
train,1,41,19.941186904907227,0.3940403461456299,-0.3705478012561798
train,1,42,20.31249237060547,0.37130630016326904,0.8250864744186401
train,1,43,20.71683120727539,0.4043388366699219,0.18521592020988464
train,1,44,21.15066146850586,0.43382948637008667,-0.06428368389606476
